hostname,Mgt_IP,description,device_type,version
A-HYA2B-COR-CS01,11.28.16.21,A-HYA2B-COR-CS01,Nexus7000,6.2(20)
A-HYA2B-ZBA-CS01,11.1.1.101,A-HYA2B-ZBA-CS01,Nexus7000 C7009,6.2(16) 
A-HYA2B-ZBA-DS01,11.1.1.102,A-HYA2B-ZBA-DS01,Nexus7000 C7009,6.2(16) 
A-HYA2B-ZBA-DS03,11.1.1.103,A-HYA2B-ZBA-DS03,Nexus7000 C7009,6.2(16) 
A-HYA4A-ZBA-AS01,11.1.1.104,A-HYA4A-ZBA-AS01,Nexus9000 93180YC-EX,7.0(3)I6(1) 
A-HYA2B-ZBA-A2B,11.1.1.105,A-HYA2B-ZBA-A2B,Nexus7000 C7009,6.2(16) 
A_HYA02_AS1_AS01,11.1.1.193,A_HYA02_AS1_AS01,WS-C4507R (MPC8245),12.2
A_HYA02_AS1_AS02,11.1.1.194,A_HYA02_AS1_AS02,WS-C4507R (MPC8245),12.2
A_HYA02_AS1_AS03,11.1.1.195,A_HYA02_AS1_AS03,WS-C6509-E (R7000),12.2
A-HYA1A-ZBA-AS01,11.1.1.196,A-HYA1A-ZBA-AS01,Nexus 5672UP,7.0(2)N1(1) 
A-HYA4B-ZBA-AS01,11.1.1.197,A-HYA4B-ZBA-AS01,Nexus9000 93180YC-EX,7.0(3)I6(1) 
B-HYA2B-ZBA-CS01,21.121.1.101,B-HYA2B-ZBA-CS01,Nexus7000 C7009,6.2(16) 
B-HYA2B-ZBA-DS01,21.121.1.102,B-HYA2B-ZBA-DS01,Nexus7000 C7009,6.2(16) 
B-HYA2B-ZBA-DS03,21.121.1.103,B-HYA2B-ZBA-DS03,Nexus7000 C7009,6.2(16) 
B-HYA4A-ZBA-AS01,21.121.1.104,B-HYA4A-ZBA-AS01,Nexus9000 93180YC-EX,7.0(3)I6(1) 
B-HYA2B-ZBA-B2A,21.121.1.105,B-HYA2B-ZBA-B2A,Nexus7000 C7009,6.2(16) 
B_HYA02_ZBA_AS01,21.121.1.193,B_HYA02_ZBA_AS01,WS-C4507R (MPC8245),12.2
B_HYA02_ZBA_AS02,21.121.1.194,B_HYA02_ZBA_AS02,WS-C4507R (MPC8245),12.2
B_HYA02_ZBA_AS05,21.121.1.195,B_HYA02_ZBA_AS05,WS-C6509-E (R7000),12.2
B-HYA1A-ZBA-AS01,21.121.1.196,B-HYA1A-ZBA-AS01,Nexus 5672UP,7.0(2)N1(1) 
B-HYA4B-ZBA-AS01,21.121.1.197,B-HYA4B-ZBA-AS01,Nexus9000 93180YC-EX,7.0(3)I6(1) 
C-HYA3F-ECC-AS03,21.121.1.198,C-HYA3F-ECC-AS03,WS-C4507R+E (MPC8572),15.0
B-HYA2B-ZBA-FW01,21.121.4.21,B-HYA2B-ZBA-FW01,ASA5525,9.6(4)  
